SRR,class,AF069508.1,AF074086.2,AF079797.1,AF134984.1,AF156961.1,AF156963.1,AF164609.1,AF164610.1,AF164611.1,AF164612.1,AF164613.1,AF164614.1,AF164615.1,AF205860.1,AF216972.1,AF290421.1,AF290422.1,AF290423.1,AF480924.1,AF499232.1,AY101582.1,AY101583.1,AY101584.1,AY101585.1,DQ112093.1,DQ112094.1,DQ112095.1,DQ112098.1,DQ112099.1,DQ112100.1,DQ112102.1,DQ112103.1,DQ112104.1,DQ112105.1,DQ112106.1,DQ112107.1,DQ112108.1,DQ112109.1,DQ112110.1,DQ112111.1,DQ112113.1,DQ112114.1,DQ112115.1,DQ112116.1,DQ112117.1,DQ112118.1,DQ112119.1,DQ112120.1,DQ112121.1,DQ112122.1,DQ112123.1,DQ112124.1,DQ112127.1,DQ112131.1,DQ112132.1,DQ112134.1,DQ112139.1,DQ112140.1,DQ112143.1,DQ112146.1,DQ112147.1,DQ112148.1,DQ112151.1,DQ112152.1,EU853142.1,U07856.1,DQ112096.1,DQ112097.1,DQ112101.1,EU853143.1
SRR4436343,infected,6007,328,26728,12,15,4,6,50,1,8,10,15,3,8,45,8,16,1030,3,120,74,74,82,74,14176,209,61,49,47,16,58,24,10752,116307,39332,22,22,3339,483,48,12,2309,6,829,220,2160,18174,10,10,31395,302,20,312,120,11,390,8,2,10,40,11,242,58,5,1,78,0,0,0,0
SRR5297096,healthy,20940,1587,79244,185,157,58,15,104,9,103,40,157,20,149,27,199,132,30199,2,556,1352,1352,1381,1352,39795,9182,639,386,595,220,244,125,31136,69488,48571,112,167,4669,1770,355,56,4523,120,2311,90,5382,19180,88,88,50551,658,134,1129,127,98,1441,40,24,68,103,69,1642,240,101,2,185,34,15,24,2
SRR6129789,infected,11835,755,54877,27,85,14,10,46,14,24,12,55,6,39,25,330,96,5558,4,230,426,427,437,426,26752,1595,169,164,178,64,70,97,21504,15235,30382,88,40,2483,955,82,104,2779,36,974,89,2517,7321,38,38,14399,517,68,568,89,27,733,64,19,16,49,25,193,68,16,0,133,16,19,12,0
SRR4436343,infected,6007,328,26728,12,15,4,6,50,1,8,10,15,3,8,45,8,16,1030,3,120,74,74,82,74,14176,209,61,49,47,16,58,24,10752,116307,39332,22,22,3339,483,48,12,2309,6,829,220,2160,18174,10,10,31395,302,20,312,120,11,390,8,2,10,40,11,242,58,5,1,78,0,0,0,0
SRR5297096,healthy,20940,1587,79244,185,157,58,15,104,9,103,40,157,20,149,27,199,132,30199,2,556,1352,1352,1381,1352,39795,9182,639,386,595,220,244,125,31136,69488,48571,112,167,4669,1770,355,56,4523,120,2311,90,5382,19180,88,88,50551,658,134,1129,127,98,1441,40,24,68,103,69,1642,240,101,2,185,34,15,24,2
SRR6129789,infected,11835,755,54877,27,85,14,10,46,14,24,12,55,6,39,25,330,96,5558,4,230,426,427,437,426,26752,1595,169,164,178,64,70,97,21504,15235,30382,88,40,2483,955,82,104,2779,36,974,89,2517,7321,38,38,14399,517,68,568,89,27,733,64,19,16,49,25,193,68,16,0,133,16,19,12,0
SRR4436343,infected,6007,328,26728,12,15,4,6,50,1,8,10,15,3,8,45,8,16,1030,3,120,74,74,82,74,14176,209,61,49,47,16,58,24,10752,116307,39332,22,22,3339,483,48,12,2309,6,829,220,2160,18174,10,10,31395,302,20,312,120,11,390,8,2,10,40,11,242,58,5,1,78,0,0,0,0
SRR5297096,healthy,20940,1587,79244,185,157,58,15,104,9,103,40,157,20,149,27,199,132,30199,2,556,1352,1352,1381,1352,39795,9182,639,386,595,220,244,125,31136,69488,48571,112,167,4669,1770,355,56,4523,120,2311,90,5382,19180,88,88,50551,658,134,1129,127,98,1441,40,24,68,103,69,1642,240,101,2,185,34,15,24,2
SRR6129789,infected,11835,755,54877,27,85,14,10,46,14,24,12,55,6,39,25,330,96,5558,4,230,426,427,437,426,26752,1595,169,164,178,64,70,97,21504,15235,30382,88,40,2483,955,82,104,2779,36,974,89,2517,7321,38,38,14399,517,68,568,89,27,733,64,19,16,49,25,193,68,16,0,133,16,19,12,0
SRR4436343,infected,6007,328,26728,12,15,4,6,50,1,8,10,15,3,8,45,8,16,1030,3,120,74,74,82,74,14176,209,61,49,47,16,58,24,10752,116307,39332,22,22,3339,483,48,12,2309,6,829,220,2160,18174,10,10,31395,302,20,312,120,11,390,8,2,10,40,11,242,58,5,1,78,0,0,0,0
SRR5297096,healthy,20940,1587,79244,185,157,58,15,104,9,103,40,157,20,149,27,199,132,30199,2,556,1352,1352,1381,1352,39795,9182,639,386,595,220,244,125,31136,69488,48571,112,167,4669,1770,355,56,4523,120,2311,90,5382,19180,88,88,50551,658,134,1129,127,98,1441,40,24,68,103,69,1642,240,101,2,185,34,15,24,2
SRR6129789,infected,11835,755,54877,27,85,14,10,46,14,24,12,55,6,39,25,330,96,5558,4,230,426,427,437,426,26752,1595,169,164,178,64,70,97,21504,15235,30382,88,40,2483,955,82,104,2779,36,974,89,2517,7321,38,38,14399,517,68,568,89,27,733,64,19,16,49,25,193,68,16,0,133,16,19,12,0
SRR4436343,infected,6007,328,26728,12,15,4,6,50,1,8,10,15,3,8,45,8,16,1030,3,120,74,74,82,74,14176,209,61,49,47,16,58,24,10752,116307,39332,22,22,3339,483,48,12,2309,6,829,220,2160,18174,10,10,31395,302,20,312,120,11,390,8,2,10,40,11,242,58,5,1,78,0,0,0,0
SRR5297096,healthy,20940,1587,79244,185,157,58,15,104,9,103,40,157,20,149,27,199,132,30199,2,556,1352,1352,1381,1352,39795,9182,639,386,595,220,244,125,31136,69488,48571,112,167,4669,1770,355,56,4523,120,2311,90,5382,19180,88,88,50551,658,134,1129,127,98,1441,40,24,68,103,69,1642,240,101,2,185,34,15,24,2
SRR6129789,infected,11835,755,54877,27,85,14,10,46,14,24,12,55,6,39,25,330,96,5558,4,230,426,427,437,426,26752,1595,169,164,178,64,70,97,21504,15235,30382,88,40,2483,955,82,104,2779,36,974,89,2517,7321,38,38,14399,517,68,568,89,27,733,64,19,16,49,25,193,68,16,0,133,16,19,12,0
SRR4436343,infected,6007,328,26728,12,15,4,6,50,1,8,10,15,3,8,45,8,16,1030,3,120,74,74,82,74,14176,209,61,49,47,16,58,24,10752,116307,39332,22,22,3339,483,48,12,2309,6,829,220,2160,18174,10,10,31395,302,20,312,120,11,390,8,2,10,40,11,242,58,5,1,78,0,0,0,0
SRR5297096,healthy,20940,1587,79244,185,157,58,15,104,9,103,40,157,20,149,27,199,132,30199,2,556,1352,1352,1381,1352,39795,9182,639,386,595,220,244,125,31136,69488,48571,112,167,4669,1770,355,56,4523,120,2311,90,5382,19180,88,88,50551,658,134,1129,127,98,1441,40,24,68,103,69,1642,240,101,2,185,34,15,24,2
SRR6129789,infected,11835,755,54877,27,85,14,10,46,14,24,12,55,6,39,25,330,96,5558,4,230,426,427,437,426,26752,1595,169,164,178,64,70,97,21504,15235,30382,88,40,2483,955,82,104,2779,36,974,89,2517,7321,38,38,14399,517,68,568,89,27,733,64,19,16,49,25,193,68,16,0,133,16,19,12,0
